Analyte,MW
atrazine,215.68
fipronil_sulfone,453.1
fipronil_desulfinyl,389.08
fipronil_sulfide,421.1
fipronil,437.1
fipronil_desulfinyl_amide,407.18
glyphosate,169.07
mercury,200.59
selenium,78.97
imidacloprid,255.66
malathion,330.4
chlorpyrifos,350.6
diazinon,304.34
diazoxon,288.28
bifenthrin,422.9
esfenvalerate,419.91
cyfluthrin,434.3
copper,63.55
cadmium,112.41
endosulfan,406.9
endosulfan_sulfate,422.9
ddt,354.5
dde,318
ddd,320
diuron,233.09
dinoseb,240.21
Triclopyr,256.5
Molinate,187.3
Thiobencarb,257.78
propanil,218.08
,
,
